"geneDescr"	"clGeneIds"	"aaGenePartitions"	"ntGenePartitions"
"SsrA-binding protein"	"fig|Bacteroides_1_1_30.peg.4394,fig|Bacteroides_2_1_22.peg.623,fig|Bacteroides_2_2_4.peg.4575,fig|Bacteroides_3_1_23.peg.1962,fig|Bacteroides_D1.peg.981,fig|Bacteroides_D22.peg.4298,fig|Bacteroides_D2.peg.4598,fig|Bacteroides_ovatus_3_8_47FAA.peg.4276,fig|Bacteroides_ovatus_ATCC_8483.peg.3766,fig|Bacteroides_ovatus_CL03T12C18.peg.4717,fig|Bacteroides_ovatus_SD_CC_2a.peg.4088,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2138,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4361,fig|Bacteroides_xylanisolvens_XB1A.peg.4080,fig|Bovatus_CL02T12C04.peg.5477,fig|Bovatus_NLAE-zl-C11.peg.3500,fig|Bovatus_NLAE-zl-C34.peg.3590,fig|Bovatus_NLAE-zl-H304.peg.4743,fig|Bovatus_NLAE-zl-H361.peg.4203,fig|Bovatus_NLAE-zl-H59.peg.5127,fig|Bovatus_NLAE-zl-H73.peg.5143,fig|Bxylanisolvens_CL03T12C04.peg.3962,fig|Bxylanisolvens_NLAE-zl-C182.peg.3921,fig|Bxylanisolvens_NLAE-zl-C29.peg.3768,fig|Bxylanisolvens_NLAE-zl-C339.peg.3881,fig|Bxylanisolvens_NLAE-zl-G310.peg.4028,fig|Bxylanisolvens_NLAE-zl-G421.peg.4037,fig|Bxylanisolvens_NLAE-zl-H194.peg.3673,fig|Bxylanisolvens_NLAE-zl-P352.peg.3854,fig|Bxylanisolvens_NLAE-zl-P393.peg.4006,fig|Bxylanisolvens_NLAE-zl-P727.peg.3629,fig|Bxylanisolvens_NLAE-zl-P732.peg.3903,fig|Bxylanisolvens_NLAE-zl-P736.peg.4570"	"474939-475088"	"1424815-1425264"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.2672,fig|Bacteroides_2_1_22.peg.2712,fig|Bacteroides_2_2_4.peg.2559,fig|Bacteroides_3_1_23.peg.684,fig|Bacteroides_D1.peg.2497,fig|Bacteroides_D22.peg.2568,fig|Bacteroides_D2.peg.2900,fig|Bacteroides_ovatus_3_8_47FAA.peg.2643,fig|Bacteroides_ovatus_ATCC_8483.peg.2228,fig|Bacteroides_ovatus_CL03T12C18.peg.2849,fig|Bacteroides_ovatus_SD_CC_2a.peg.2346,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4122,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2357,fig|Bacteroides_xylanisolvens_XB1A.peg.2277,fig|Bovatus_CL02T12C04.peg.3132,fig|Bovatus_NLAE-zl-C11.peg.2059,fig|Bovatus_NLAE-zl-C34.peg.2148,fig|Bovatus_NLAE-zl-H304.peg.2989,fig|Bovatus_NLAE-zl-H361.peg.2546,fig|Bovatus_NLAE-zl-H59.peg.3322,fig|Bovatus_NLAE-zl-H73.peg.3309,fig|Bxylanisolvens_CL03T12C04.peg.2223,fig|Bxylanisolvens_NLAE-zl-C182.peg.2338,fig|Bxylanisolvens_NLAE-zl-C29.peg.2197,fig|Bxylanisolvens_NLAE-zl-C339.peg.2350,fig|Bxylanisolvens_NLAE-zl-G310.peg.2375,fig|Bxylanisolvens_NLAE-zl-G421.peg.2381,fig|Bxylanisolvens_NLAE-zl-H194.peg.2227,fig|Bxylanisolvens_NLAE-zl-P352.peg.2201,fig|Bxylanisolvens_NLAE-zl-P393.peg.2440,fig|Bxylanisolvens_NLAE-zl-P727.peg.2025,fig|Bxylanisolvens_NLAE-zl-P732.peg.2296,fig|Bxylanisolvens_NLAE-zl-P736.peg.2791"	"475089-475238"	"1425265-1425714"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.1640,fig|Bacteroides_2_1_22.peg.2014,fig|Bacteroides_2_2_4.peg.5543,fig|Bacteroides_3_1_23.peg.3077,fig|Bacteroides_D1.peg.3339,fig|Bacteroides_D22.peg.1637,fig|Bacteroides_D2.peg.5230,fig|Bacteroides_ovatus_3_8_47FAA.peg.1712,fig|Bacteroides_ovatus_ATCC_8483.peg.4550,fig|Bacteroides_ovatus_CL03T12C18.peg.1983,fig|Bacteroides_ovatus_SD_CC_2a.peg.1444,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3522,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1443,fig|Bacteroides_xylanisolvens_XB1A.peg.1406,fig|Bovatus_CL02T12C04.peg.6240,fig|Bovatus_NLAE-zl-C11.peg.1213,fig|Bovatus_NLAE-zl-C34.peg.1226,fig|Bovatus_NLAE-zl-H304.peg.5365,fig|Bovatus_NLAE-zl-H361.peg.4865,fig|Bovatus_NLAE-zl-H59.peg.1868,fig|Bovatus_NLAE-zl-H73.peg.2097,fig|Bxylanisolvens_CL03T12C04.peg.4648,fig|Bxylanisolvens_NLAE-zl-C182.peg.1420,fig|Bxylanisolvens_NLAE-zl-C29.peg.1350,fig|Bxylanisolvens_NLAE-zl-C339.peg.1418,fig|Bxylanisolvens_NLAE-zl-G310.peg.4564,fig|Bxylanisolvens_NLAE-zl-G421.peg.4562,fig|Bxylanisolvens_NLAE-zl-H194.peg.4336,fig|Bxylanisolvens_NLAE-zl-P352.peg.4512,fig|Bxylanisolvens_NLAE-zl-P393.peg.4511,fig|Bxylanisolvens_NLAE-zl-P727.peg.4511,fig|Bxylanisolvens_NLAE-zl-P732.peg.4515,fig|Bxylanisolvens_NLAE-zl-P736.peg.3587"	"475239-475388"	"1425715-1426164"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.486,fig|Bacteroides_2_1_22.peg.1387,fig|Bacteroides_2_2_4.peg.418,fig|Bacteroides_3_1_23.peg.1171,fig|Bacteroides_D1.peg.366,fig|Bacteroides_D22.peg.715,fig|Bacteroides_D2.peg.750,fig|Bacteroides_ovatus_3_8_47FAA.peg.853,fig|Bacteroides_ovatus_ATCC_8483.peg.163,fig|Bacteroides_ovatus_CL03T12C18.peg.151,fig|Bacteroides_ovatus_SD_CC_2a.peg.484,fig|Bacteroides_ovatus_SD_CMC_3f.peg.677,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.460,fig|Bacteroides_xylanisolvens_XB1A.peg.459,fig|Bovatus_CL02T12C04.peg.1270,fig|Bovatus_NLAE-zl-C11.peg.465,fig|Bovatus_NLAE-zl-C34.peg.466,fig|Bovatus_NLAE-zl-H304.peg.679,fig|Bovatus_NLAE-zl-H361.peg.556,fig|Bovatus_NLAE-zl-H59.peg.438,fig|Bovatus_NLAE-zl-H73.peg.600,fig|Bxylanisolvens_CL03T12C04.peg.302,fig|Bxylanisolvens_NLAE-zl-C182.peg.504,fig|Bxylanisolvens_NLAE-zl-C29.peg.536,fig|Bxylanisolvens_NLAE-zl-C339.peg.504,fig|Bxylanisolvens_NLAE-zl-G310.peg.594,fig|Bxylanisolvens_NLAE-zl-G421.peg.593,fig|Bxylanisolvens_NLAE-zl-H194.peg.537,fig|Bxylanisolvens_NLAE-zl-P352.peg.449,fig|Bxylanisolvens_NLAE-zl-P393.peg.448,fig|Bxylanisolvens_NLAE-zl-P727.peg.418,fig|Bxylanisolvens_NLAE-zl-P732.peg.447,fig|Bxylanisolvens_NLAE-zl-P736.peg.559"	"475389-475537"	"1426165-1426611"
"Yqey-like protein"	"fig|Bacteroides_1_1_30.peg.2970,fig|Bacteroides_2_1_22.peg.2982,fig|Bacteroides_2_2_4.peg.3020,fig|Bacteroides_3_1_23.peg.3631,fig|Bacteroides_D1.peg.2767,fig|Bacteroides_D22.peg.2882,fig|Bacteroides_D2.peg.3233,fig|Bacteroides_ovatus_3_8_47FAA.peg.2969,fig|Bacteroides_ovatus_ATCC_8483.peg.2511,fig|Bacteroides_ovatus_CL03T12C18.peg.3157,fig|Bacteroides_ovatus_SD_CC_2a.peg.2675,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4526,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2689,fig|Bacteroides_xylanisolvens_XB1A.peg.2690,fig|Bovatus_CL02T12C04.peg.3449,fig|Bovatus_NLAE-zl-C11.peg.2345,fig|Bovatus_NLAE-zl-C34.peg.2432,fig|Bovatus_NLAE-zl-H304.peg.3339,fig|Bovatus_NLAE-zl-H361.peg.2891,fig|Bovatus_NLAE-zl-H59.peg.3636,fig|Bovatus_NLAE-zl-H73.peg.3639,fig|Bxylanisolvens_CL03T12C04.peg.2567,fig|Bxylanisolvens_NLAE-zl-C182.peg.2630,fig|Bxylanisolvens_NLAE-zl-C29.peg.2480,fig|Bxylanisolvens_NLAE-zl-C339.peg.2665,fig|Bxylanisolvens_NLAE-zl-G310.peg.2667,fig|Bxylanisolvens_NLAE-zl-G421.peg.2673,fig|Bxylanisolvens_NLAE-zl-H194.peg.2522,fig|Bxylanisolvens_NLAE-zl-P352.peg.2490,fig|Bxylanisolvens_NLAE-zl-P393.peg.2727,fig|Bxylanisolvens_NLAE-zl-P727.peg.2314,fig|Bxylanisolvens_NLAE-zl-P732.peg.2584,fig|Bxylanisolvens_NLAE-zl-P736.peg.3088"	"475538-475686"	"1426612-1427058"
"Sporulation related domain protein"	"fig|Bacteroides_1_1_30.peg.3263,fig|Bacteroides_2_1_22.peg.3547,fig|Bacteroides_2_2_4.peg.3523,fig|Bacteroides_3_1_23.peg.4141,fig|Bacteroides_D1.peg.2279,fig|Bacteroides_D22.peg.3168,fig|Bacteroides_D2.peg.3718,fig|Bacteroides_ovatus_3_8_47FAA.peg.3396,fig|Bacteroides_ovatus_ATCC_8483.peg.2747,fig|Bacteroides_ovatus_CL03T12C18.peg.3651,fig|Bacteroides_ovatus_SD_CC_2a.peg.2862,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4795,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3148,fig|Bacteroides_xylanisolvens_XB1A.peg.2972,fig|Bovatus_CL02T12C04.peg.3995,fig|Bovatus_NLAE-zl-C11.peg.2624,fig|Bovatus_NLAE-zl-C34.peg.2715,fig|Bovatus_NLAE-zl-H304.peg.3695,fig|Bovatus_NLAE-zl-H361.peg.3217,fig|Bovatus_NLAE-zl-H59.peg.3977,fig|Bovatus_NLAE-zl-H73.peg.3988,fig|Bxylanisolvens_CL03T12C04.peg.2998,fig|Bxylanisolvens_NLAE-zl-C182.peg.2909,fig|Bxylanisolvens_NLAE-zl-C29.peg.2671,fig|Bxylanisolvens_NLAE-zl-C339.peg.2961,fig|Bxylanisolvens_NLAE-zl-G310.peg.2970,fig|Bxylanisolvens_NLAE-zl-G421.peg.2976,fig|Bxylanisolvens_NLAE-zl-H194.peg.2714,fig|Bxylanisolvens_NLAE-zl-P352.peg.2779,fig|Bxylanisolvens_NLAE-zl-P393.peg.3018,fig|Bxylanisolvens_NLAE-zl-P727.peg.2602,fig|Bxylanisolvens_NLAE-zl-P732.peg.2873,fig|Bxylanisolvens_NLAE-zl-P736.peg.3400"	"475687-475835"	"1427059-1427505"
"tRNA-specific adenosine deaminase"	"fig|Bacteroides_1_1_30.peg.3717,fig|Bacteroides_2_1_22.peg.3894,fig|Bacteroides_2_2_4.peg.3843,fig|Bacteroides_3_1_23.peg.4512,fig|Bacteroides_D1.peg.3110,fig|Bacteroides_D22.peg.3563,fig|Bacteroides_D2.peg.4041,fig|Bacteroides_ovatus_3_8_47FAA.peg.3746,fig|Bacteroides_ovatus_ATCC_8483.peg.3227,fig|Bacteroides_ovatus_CL03T12C18.peg.4026,fig|Bacteroides_ovatus_SD_CC_2a.peg.3311,fig|Bacteroides_ovatus_SD_CMC_3f.peg.5155,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3555,fig|Bacteroides_xylanisolvens_XB1A.peg.3278,fig|Bovatus_CL02T12C04.peg.4362,fig|Bovatus_NLAE-zl-C11.peg.2930,fig|Bovatus_NLAE-zl-C34.peg.3021,fig|Bovatus_NLAE-zl-H304.peg.4058,fig|Bovatus_NLAE-zl-H361.peg.3555,fig|Bovatus_NLAE-zl-H59.peg.4492,fig|Bovatus_NLAE-zl-H73.peg.4501,fig|Bxylanisolvens_CL03T12C04.peg.3268,fig|Bxylanisolvens_NLAE-zl-C182.peg.3250,fig|Bxylanisolvens_NLAE-zl-C29.peg.3009,fig|Bxylanisolvens_NLAE-zl-C339.peg.3244,fig|Bxylanisolvens_NLAE-zl-G310.peg.3274,fig|Bxylanisolvens_NLAE-zl-G421.peg.3280,fig|Bxylanisolvens_NLAE-zl-H194.peg.3003,fig|Bxylanisolvens_NLAE-zl-P352.peg.3233,fig|Bxylanisolvens_NLAE-zl-P393.peg.3425,fig|Bxylanisolvens_NLAE-zl-P727.peg.3012,fig|Bxylanisolvens_NLAE-zl-P732.peg.3313,fig|Bxylanisolvens_NLAE-zl-P736.peg.3977"	"475836-475984"	"1427506-1427952"
"30S ribosomal protein S12"	"fig|Bacteroides_1_1_30.peg.2106,fig|Bacteroides_2_1_22.peg.2267,fig|Bacteroides_2_2_4.peg.1876,fig|Bacteroides_3_1_23.peg.154,fig|Bacteroides_D1.peg.1839,fig|Bacteroides_D22.peg.2030,fig|Bacteroides_D2.peg.2283,fig|Bacteroides_ovatus_3_8_47FAA.peg.2169,fig|Bacteroides_ovatus_ATCC_8483.peg.1754,fig|Bacteroides_ovatus_CL03T12C18.peg.2287,fig|Bacteroides_ovatus_SD_CC_2a.peg.1863,fig|Bacteroides_ovatus_SD_CMC_3f.peg.1196,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1868,fig|Bacteroides_xylanisolvens_XB1A.peg.1803,fig|Bovatus_CL02T12C04.peg.2415,fig|Bovatus_NLAE-zl-C11.peg.1595,fig|Bovatus_NLAE-zl-C34.peg.1619,fig|Bovatus_NLAE-zl-H304.peg.4443,fig|Bovatus_NLAE-zl-H361.peg.2109,fig|Bovatus_NLAE-zl-H59.peg.2519,fig|Bovatus_NLAE-zl-H73.peg.2520,fig|Bxylanisolvens_CL03T12C04.peg.1771,fig|Bxylanisolvens_NLAE-zl-C182.peg.1904,fig|Bxylanisolvens_NLAE-zl-C29.peg.1781,fig|Bxylanisolvens_NLAE-zl-C339.peg.1902,fig|Bxylanisolvens_NLAE-zl-G310.peg.1922,fig|Bxylanisolvens_NLAE-zl-G421.peg.1930,fig|Bxylanisolvens_NLAE-zl-H194.peg.1783,fig|Bxylanisolvens_NLAE-zl-P352.peg.1790,fig|Bxylanisolvens_NLAE-zl-P393.peg.1974,fig|Bxylanisolvens_NLAE-zl-P727.peg.1531,fig|Bxylanisolvens_NLAE-zl-P732.peg.1834,fig|Bxylanisolvens_NLAE-zl-P736.peg.2265"	"475985-476133"	"1427953-1428399"
"Organic hydroperoxide resistance transcriptional regulator"	"fig|Bacteroides_1_1_30.peg.1260,fig|Bacteroides_2_1_22.peg.1597,fig|Bacteroides_2_2_4.peg.1495,fig|Bacteroides_3_1_23.peg.2723,fig|Bacteroides_D1.peg.536,fig|Bacteroides_D22.peg.1272,fig|Bacteroides_D2.peg.992,fig|Bacteroides_ovatus_3_8_47FAA.peg.1371,fig|Bacteroides_ovatus_ATCC_8483.peg.1200,fig|Bacteroides_ovatus_CL03T12C18.peg.1487,fig|Bacteroides_ovatus_SD_CC_2a.peg.1078,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3134,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1088,fig|Bacteroides_xylanisolvens_XB1A.peg.1069,fig|Bovatus_CL02T12C04.peg.928,fig|Bovatus_NLAE-zl-C11.peg.898,fig|Bovatus_NLAE-zl-C34.peg.901,fig|Bovatus_NLAE-zl-H304.peg.1546,fig|Bovatus_NLAE-zl-H361.peg.1336,fig|Bovatus_NLAE-zl-H59.peg.1406,fig|Bovatus_NLAE-zl-H73.peg.1635,fig|Bxylanisolvens_CL03T12C04.peg.1100,fig|Bxylanisolvens_NLAE-zl-C182.peg.1079,fig|Bxylanisolvens_NLAE-zl-C29.peg.977,fig|Bxylanisolvens_NLAE-zl-C339.peg.1078,fig|Bxylanisolvens_NLAE-zl-G310.peg.1300,fig|Bxylanisolvens_NLAE-zl-G421.peg.1297,fig|Bxylanisolvens_NLAE-zl-H194.peg.1115,fig|Bxylanisolvens_NLAE-zl-P352.peg.1034,fig|Bxylanisolvens_NLAE-zl-P393.peg.1012,fig|Bxylanisolvens_NLAE-zl-P727.peg.4316,fig|Bxylanisolvens_NLAE-zl-P732.peg.1012,fig|Bxylanisolvens_NLAE-zl-P736.peg.1209"	"476134-476281"	"1428400-1428843"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.1882,fig|Bacteroides_2_1_22.peg.352,fig|Bacteroides_2_2_4.peg.1062,fig|Bacteroides_3_1_23.peg.868,fig|Bacteroides_D1.peg.1252,fig|Bacteroides_D22.peg.979,fig|Bacteroides_D2.peg.1559,fig|Bacteroides_ovatus_3_8_47FAA.peg.1176,fig|Bacteroides_ovatus_ATCC_8483.peg.951,fig|Bacteroides_ovatus_CL03T12C18.peg.909,fig|Bacteroides_ovatus_SD_CC_2a.peg.867,fig|Bacteroides_ovatus_SD_CMC_3f.peg.1009,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.872,fig|Bacteroides_xylanisolvens_XB1A.peg.860,fig|Bovatus_CL02T12C04.peg.531,fig|Bovatus_NLAE-zl-C11.peg.736,fig|Bovatus_NLAE-zl-C34.peg.739,fig|Bovatus_NLAE-zl-H304.peg.1144,fig|Bovatus_NLAE-zl-H361.peg.946,fig|Bovatus_NLAE-zl-H59.peg.1161,fig|Bovatus_NLAE-zl-H73.peg.1015,fig|Bxylanisolvens_CL03T12C04.peg.773,fig|Bxylanisolvens_NLAE-zl-C182.peg.826,fig|Bxylanisolvens_NLAE-zl-C29.peg.760,fig|Bxylanisolvens_NLAE-zl-C339.peg.827,fig|Bxylanisolvens_NLAE-zl-G310.peg.886,fig|Bxylanisolvens_NLAE-zl-G421.peg.884,fig|Bxylanisolvens_NLAE-zl-H194.peg.876,fig|Bxylanisolvens_NLAE-zl-P352.peg.797,fig|Bxylanisolvens_NLAE-zl-P393.peg.796,fig|Bxylanisolvens_NLAE-zl-P727.peg.767,fig|Bxylanisolvens_NLAE-zl-P732.peg.795,fig|Bxylanisolvens_NLAE-zl-P736.peg.1075"	"476282-476435"	"1428844-1429305"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.3932,fig|Bacteroides_2_1_22.peg.3993,fig|Bacteroides_2_2_4.peg.3929,fig|Bacteroides_3_1_23.peg.4611,fig|Bacteroides_D1.peg.3211,fig|Bacteroides_D22.peg.3657,fig|Bacteroides_D2.peg.4125,fig|Bacteroides_ovatus_3_8_47FAA.peg.3830,fig|Bacteroides_ovatus_ATCC_8483.peg.3313,fig|Bacteroides_ovatus_CL03T12C18.peg.4112,fig|Bacteroides_ovatus_SD_CC_2a.peg.3417,fig|Bacteroides_ovatus_SD_CMC_3f.peg.1433,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3660,fig|Bacteroides_xylanisolvens_XB1A.peg.3423,fig|Bovatus_CL02T12C04.peg.4446,fig|Bovatus_NLAE-zl-C11.peg.3013,fig|Bovatus_NLAE-zl-C34.peg.3294,fig|Bovatus_NLAE-zl-H304.peg.4225,fig|Bovatus_NLAE-zl-H361.peg.3733,fig|Bovatus_NLAE-zl-H59.peg.4578,fig|Bovatus_NLAE-zl-H73.peg.4588,fig|Bxylanisolvens_CL03T12C04.peg.3348,fig|Bxylanisolvens_NLAE-zl-C182.peg.3337,fig|Bxylanisolvens_NLAE-zl-C29.peg.3096,fig|Bxylanisolvens_NLAE-zl-C339.peg.3331,fig|Bxylanisolvens_NLAE-zl-G310.peg.3360,fig|Bxylanisolvens_NLAE-zl-G421.peg.3366,fig|Bxylanisolvens_NLAE-zl-H194.peg.3090,fig|Bxylanisolvens_NLAE-zl-P352.peg.3311,fig|Bxylanisolvens_NLAE-zl-P393.peg.3503,fig|Bxylanisolvens_NLAE-zl-P727.peg.3090,fig|Bxylanisolvens_NLAE-zl-P732.peg.3391,fig|Bxylanisolvens_NLAE-zl-P736.peg.4068"	"476436-476583"	"1429306-1429749"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.4268,fig|Bacteroides_2_1_22.peg.774,fig|Bacteroides_2_2_4.peg.4383,fig|Bacteroides_3_1_23.peg.2143,fig|Bacteroides_D1.peg.3725,fig|Bacteroides_D22.peg.3954,fig|Bacteroides_D2.peg.4429,fig|Bacteroides_ovatus_3_8_47FAA.peg.4141,fig|Bacteroides_ovatus_ATCC_8483.peg.3617,fig|Bacteroides_ovatus_CL03T12C18.peg.4544,fig|Bacteroides_ovatus_SD_CC_2a.peg.3904,fig|Bacteroides_ovatus_SD_CMC_3f.peg.1775,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4152,fig|Bacteroides_xylanisolvens_XB1A.peg.3716,fig|Bovatus_CL02T12C04.peg.5271,fig|Bovatus_NLAE-zl-C11.peg.3349,fig|Bovatus_NLAE-zl-C34.peg.3439,fig|Bovatus_NLAE-zl-H304.peg.4567,fig|Bovatus_NLAE-zl-H361.peg.4038,fig|Bovatus_NLAE-zl-H59.peg.4950,fig|Bovatus_NLAE-zl-H73.peg.4965,fig|Bxylanisolvens_CL03T12C04.peg.3792,fig|Bxylanisolvens_NLAE-zl-C182.peg.3798,fig|Bxylanisolvens_NLAE-zl-C29.peg.3484,fig|Bxylanisolvens_NLAE-zl-C339.peg.3760,fig|Bxylanisolvens_NLAE-zl-G310.peg.3910,fig|Bxylanisolvens_NLAE-zl-G421.peg.3919,fig|Bxylanisolvens_NLAE-zl-H194.peg.3503,fig|Bxylanisolvens_NLAE-zl-P352.peg.3686,fig|Bxylanisolvens_NLAE-zl-P393.peg.3838,fig|Bxylanisolvens_NLAE-zl-P727.peg.3461,fig|Bxylanisolvens_NLAE-zl-P732.peg.3735,fig|Bxylanisolvens_NLAE-zl-P736.peg.4386"	"476584-476731"	"1429750-1430193"
"putative N-acetyltransferase YvbK"	"fig|Bacteroides_1_1_30.peg.32,fig|Bacteroides_2_1_22.peg.972,fig|Bacteroides_2_2_4.peg.47,fig|Bacteroides_3_1_23.peg.38,fig|Bacteroides_D1.peg.32,fig|Bacteroides_D22.peg.160,fig|Bacteroides_D2.peg.47,fig|Bacteroides_ovatus_3_8_47FAA.peg.30,fig|Bacteroides_ovatus_ATCC_8483.peg.776,fig|Bacteroides_ovatus_CL03T12C18.peg.677,fig|Bacteroides_ovatus_SD_CC_2a.peg.34,fig|Bacteroides_ovatus_SD_CMC_3f.peg.38,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.33,fig|Bacteroides_xylanisolvens_XB1A.peg.32,fig|Bovatus_CL02T12C04.peg.1836,fig|Bovatus_NLAE-zl-C11.peg.37,fig|Bovatus_NLAE-zl-C34.peg.37,fig|Bovatus_NLAE-zl-H304.peg.47,fig|Bovatus_NLAE-zl-H361.peg.38,fig|Bovatus_NLAE-zl-H59.peg.39,fig|Bovatus_NLAE-zl-H73.peg.39,fig|Bxylanisolvens_CL03T12C04.peg.33,fig|Bxylanisolvens_NLAE-zl-C182.peg.32,fig|Bxylanisolvens_NLAE-zl-C29.peg.44,fig|Bxylanisolvens_NLAE-zl-C339.peg.32,fig|Bxylanisolvens_NLAE-zl-G310.peg.32,fig|Bxylanisolvens_NLAE-zl-G421.peg.32,fig|Bxylanisolvens_NLAE-zl-H194.peg.44,fig|Bxylanisolvens_NLAE-zl-P352.peg.36,fig|Bxylanisolvens_NLAE-zl-P393.peg.36,fig|Bxylanisolvens_NLAE-zl-P727.peg.1767,fig|Bxylanisolvens_NLAE-zl-P732.peg.36,fig|Bxylanisolvens_NLAE-zl-P736.peg.42"	"476732-476878"	"1430194-1430634"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.850,fig|Bacteroides_2_1_22.peg.1079,fig|Bacteroides_2_2_4.peg.173,fig|Bacteroides_3_1_23.peg.1777,fig|Bacteroides_D1.peg.141,fig|Bacteroides_D22.peg.255,fig|Bacteroides_D2.peg.173,fig|Bacteroides_ovatus_3_8_47FAA.peg.236,fig|Bacteroides_ovatus_ATCC_8483.peg.898,fig|Bacteroides_ovatus_CL03T12C18.peg.571,fig|Bacteroides_ovatus_SD_CC_2a.peg.145,fig|Bacteroides_ovatus_SD_CMC_3f.peg.213,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.145,fig|Bacteroides_xylanisolvens_XB1A.peg.125,fig|Bovatus_CL02T12C04.peg.1707,fig|Bovatus_NLAE-zl-C11.peg.139,fig|Bovatus_NLAE-zl-C34.peg.140,fig|Bovatus_NLAE-zl-H304.peg.333,fig|Bovatus_NLAE-zl-H361.peg.262,fig|Bovatus_NLAE-zl-H59.peg.142,fig|Bovatus_NLAE-zl-H73.peg.141,fig|Bxylanisolvens_CL03T12C04.peg.128,fig|Bxylanisolvens_NLAE-zl-C182.peg.129,fig|Bxylanisolvens_NLAE-zl-C29.peg.140,fig|Bxylanisolvens_NLAE-zl-C339.peg.129,fig|Bxylanisolvens_NLAE-zl-G310.peg.130,fig|Bxylanisolvens_NLAE-zl-G421.peg.129,fig|Bxylanisolvens_NLAE-zl-H194.peg.139,fig|Bxylanisolvens_NLAE-zl-P352.peg.116,fig|Bxylanisolvens_NLAE-zl-P393.peg.116,fig|Bxylanisolvens_NLAE-zl-P727.peg.88,fig|Bxylanisolvens_NLAE-zl-P732.peg.116,fig|Bxylanisolvens_NLAE-zl-P736.peg.144"	"476879-477025"	"1430635-1431075"
"50S ribosomal protein L9"	"fig|Bacteroides_1_1_30.peg.1263,fig|Bacteroides_2_1_22.peg.1600,fig|Bacteroides_2_2_4.peg.1498,fig|Bacteroides_3_1_23.peg.2726,fig|Bacteroides_D1.peg.539,fig|Bacteroides_D22.peg.1275,fig|Bacteroides_D2.peg.995,fig|Bacteroides_ovatus_3_8_47FAA.peg.1374,fig|Bacteroides_ovatus_ATCC_8483.peg.1203,fig|Bacteroides_ovatus_CL03T12C18.peg.1490,fig|Bacteroides_ovatus_SD_CC_2a.peg.1081,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3137,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1091,fig|Bacteroides_xylanisolvens_XB1A.peg.1072,fig|Bovatus_CL02T12C04.peg.931,fig|Bovatus_NLAE-zl-C11.peg.901,fig|Bovatus_NLAE-zl-C34.peg.904,fig|Bovatus_NLAE-zl-H304.peg.1549,fig|Bovatus_NLAE-zl-H361.peg.1339,fig|Bovatus_NLAE-zl-H59.peg.1409,fig|Bovatus_NLAE-zl-H73.peg.1638,fig|Bxylanisolvens_CL03T12C04.peg.1103,fig|Bxylanisolvens_NLAE-zl-C182.peg.1082,fig|Bxylanisolvens_NLAE-zl-C29.peg.980,fig|Bxylanisolvens_NLAE-zl-C339.peg.1081,fig|Bxylanisolvens_NLAE-zl-G310.peg.1303,fig|Bxylanisolvens_NLAE-zl-G421.peg.1300,fig|Bxylanisolvens_NLAE-zl-H194.peg.1118,fig|Bxylanisolvens_NLAE-zl-P352.peg.1037,fig|Bxylanisolvens_NLAE-zl-P393.peg.1015,fig|Bxylanisolvens_NLAE-zl-P727.peg.4313,fig|Bxylanisolvens_NLAE-zl-P732.peg.1015,fig|Bxylanisolvens_NLAE-zl-P736.peg.1212"	"477026-477172"	"1431076-1431516"
